
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-12-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.4
Magnitude Max:, 5.6
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 700.0
Vs30 Max (m/sec):, 900.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 95.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.1,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 4554, 0.3132, 1.7048, -, 7.8, 15.4, 0.0, "L'Aquila (aftershock 2)_ Italy", 2009, "L'Aquila - Parking", 5.4, Normal, 13.99, 19.97, 717.0, 0.0625, 1.7048, RSN4554_L-AQUILA.B_AM440XTE.AT2, RSN4554_L-AQUILA.B_AM440YLN.AT2 , RSN4554_L-AQUILA.B_AM440ZUP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4554 RotD50 pSa (g)
0.34,0.06138064,0.06786606,0.0518
0.35,0.05605718,0.0753966,0.0504
0.36,0.04965664,0.08268708,0.0483
0.38,0.0499836,0.1054173,0.0489
0.4,0.05707981,0.109827,0.0553
0.42,0.06098201,0.1004148,0.0506
0.44,0.05127393,0.09523048,0.047
0.45,0.04491434,0.08342135,0.0504
0.46,0.0420417,0.07084356,0.0506
0.48,0.0436011,0.06105874,0.0513
0.5,0.04420623,0.06995729,0.0572
0.55,0.05791143,0.07156123,0.0507
0.6,0.06883658,0.06696286,0.0505
0.65,0.06331772,0.07297004,0.0515
0.667,0.05932074,0.07578357,0.0538
0.7,0.05116639,0.07387376,0.0652
0.75,0.07008714,0.06671531,0.0659
0.8,0.070724,0.06400772,0.0684
0.85,0.06319211,0.05071121,0.0762
0.9,0.06084767,0.03951069,0.0764
0.95,0.05598067,0.04110151,0.0661
1.0,0.04481649,0.05224083,0.0523
1.1,0.05769556,0.06337912,0.0333
1.2,0.0523269,0.05414718,0.0308
1.3,0.04874048,0.03941028,0.0212
1.4,0.03319135,0.0343988,0.0152
1.5,0.03903331,0.03906894,0.0171
1.6,0.04388007,0.04575571,0.0136
1.7,0.04540166,0.04546068,0.00966
1.8,0.04491856,0.04109895,0.0079
1.9,0.03771437,0.03478364,0.00776
2.0,0.03091752,0.03107661,0.00764
2.2,0.01693448,0.02495397,0.00581
2.4,0.01161068,0.01790461,0.00569
2.5,0.00964114,0.01482372,0.00481
2.6,0.00846534,0.01224818,0.00376
2.8,0.00715581,0.00865715,0.00257
3.0,0.00611325,0.00669575,0.00201
3.2,0.00516287,0.00564572,0.00162
3.4,0.00432703,0.00497388,0.00137
3.5,0.00395463,0.00468716,0.00141
3.6,0.00363565,0.00441053,0.00145
3.8,0.00351925,0.00386163,0.00145
4.0,0.00325319,0.00334233,0.00137
4.2,0.00290069,0.00310347,0.00122
4.4,0.00251675,0.00296126,0.00119
4.6,0.00222635,0.0028133,0.00114
4.8,0.00194563,0.00265831,0.00103
5.0,0.00187495,0.00249874,0.000883
5.5,0.00163828,0.00210289,0.000821
6.0,0.00138356,0.0017457,0.000694
6.5,0.00115242,0.00144448,0.000544
7.0,0.00095838,0.00119918,0.000481
7.5,0.00080069,0.00100256,0.000397
8.0,0.00067352,0.00084621,0.000326
8.5,0.00057148,0.00072151,0.00029
9.0,0.00048947,0.0006212,0.00026
9.5,0.00042327,0.00053993,0.000233
10.0,0.00036943,0.00047352,0.00021
11.0,0.00028876,0.0003732,0.000172
12.0,0.00023253,0.00030249,0.000143
13.0,0.00019191,0.00025088,0.00012
14.0,0.00016159,0.00021203,0.000102
15.0,0.00013831,0.00018197,8.81e-05
20.0,7.479e-05,9.903e-05,4.72e-05
